Protein_ID,UniProt_ID
Protein_Q9Y6M4,Q9Y6M4
Protein_Q14012,Q14012
Protein_Q8IU85,Q8IU85
Protein_Q9UQM7,Q9UQM7
Protein_Q9UQM7,Q5RCC4
Protein_Q13554,Q13554
Protein_Q13557,Q13557
Protein_Q13557,Q6PHZ2
Protein_Q16566,Q16566
Protein_Q13976,Q13976
Protein_Q13237,Q13237
Protein_P10721,P10721
Protein_Q96RR4,Q96RR4
Protein_P17252,P17252
Protein_P05771,P05771
Protein_Q15139,Q15139
Protein_O94806,O94806
Protein_Q05655,Q05655
Protein_Q02156,Q02156
Protein_P05129,P05129
Protein_P41743,P41743
Protein_P24723,P24723
Protein_Q04759,Q04759
Protein_Q05513,Q05513
Protein_Q15418,Q15418
Protein_P51812,P51812
Protein_O75676,O75676
Protein_O75582,O75582
Protein_P23443,P23443
Protein_Q9UBS0,Q9UBS0
Protein_P43405,P43405
Protein_P06239,P06239
Protein_P53667,P53667
Protein_Q5S007,Q5S007
Protein_P29376,P29376
Protein_P07948,P07948
Protein_Q02779,Q02779
Protein_Q16584,Q16584
Protein_Q9NYL2,Q9NYL2
Protein_Q99683,Q99683
Protein_P41279,P41279
Protein_P80192,P80192
Protein_Q12851,Q12851
Protein_O95819,O95819
Protein_P49137,P49137
Protein_Q16644,Q16644
Protein_Q8IW41,Q8IW41
Protein_Q7KZI7,Q7KZI7
Protein_Q96L34,Q96L34
Protein_P42679,P42679
Protein_Q14680,Q14680
Protein_Q12866,Q12866
Protein_P08581,P08581
Protein_Q8N4C8,Q8N4C8
Protein_P28482,P28482
Protein_P27361,P27361
Protein_P45983,P45983
Protein_P45984,P45984
Protein_P53779,P53779
Protein_Q15759,Q15759
Protein_P53778,P53778
Protein_O15264,O15264
Protein_Q16539,Q16539
Protein_Q9BUB5,Q9BUB5
Protein_Q9HBH9,Q9HBH9
Protein_Q02750,Q02750
Protein_P36507,P36507
Protein_P52564,P52564
Protein_Q5VT25,Q5VT25
Protein_P42345,P42345
Protein_P51955,P51955
Protein_P51957,P51957
Protein_Q9HC98,Q9HC98
Protein_Q9UBE8,Q9UBE8
Protein_P04629,P04629
Protein_Q16620,Q16620
Protein_Q16288,Q16288
Protein_O60285,O60285
Protein_Q13153,Q13153
Protein_Q13177,Q13177
Protein_O96013,O96013
Protein_Q96RG2,Q96RG2
Protein_Q15118,Q15118
Protein_O15530,O15530
Protein_P16234,P16234
Protein_P09619,P09619
Protein_P15735,P15735
Protein_Q9UBF8,Q9UBF8
Protein_Q9P1W9,Q9P1W9
Protein_Q86V86,Q86V86
Protein_P42336,P42336
Protein_P42338,P42338
Protein_O00329,O00329
Protein_P48736,P48736
Protein_Q16512,Q16512
Protein_Q16513,Q16513
Protein_P53350,P53350
Protein_Q9H4B4,Q9H4B4
Protein_O00444,O00444
Protein_P78527,P78527
Protein_P51817,P51817
Protein_Q13882,Q13882
Protein_P04049,P04049
Protein_P04049,Q5R5M7
Protein_P07949,P07949
Protein_Q13464,Q13464
Protein_O75116,O75116
Protein_P08922,P08922
Protein_O00141,O00141
Protein_Q9H0K1,Q9H0K1
Protein_Q9H2G2,Q9H2G2
Protein_P12931,P12931
Protein_Q9H3Y6,Q9H3Y6
Protein_Q96SB4,Q96SB4
Protein_Q9UEE5,Q9UEE5
Protein_Q9P289,Q9P289
Protein_Q13188,Q13188
Protein_Q7L7X3,Q7L7X3
Protein_Q9UHD2,Q9UHD2
Protein_Q02763,Q02763
Protein_Q96KB5,Q96KB5
Protein_Q9BXA7,Q9BXA7
Protein_Q96PF2,Q96PF2
Protein_P29597,P29597
Protein_Q06418,Q06418
Protein_P17948,P17948
Protein_P35968,P35968
Protein_P35916,P35916
Protein_P30291,P30291
Protein_P07947,P07947
Protein_P43403,P43403
